call_id,gold_actual,A_N2_pred,is_mismatch
J17_S004359,서비스이용,구매진행,True
J19_S030447,주문취소,배송확인,True
J19_S032760,환불요청,구매진행,True
J18_S018396,주문취소,환불요청,True
J19_S034039,환불요청,주문취소,True
J18_S010416,교환반품,서비스이용,True
J17_S004709,서비스이용,교환반품,True
J18_S004803,불만제기,교환반품,True
J16_S000447,서비스이용,구매진행,True
J18_S018073,배송확인,불만제기,True
J19_S001170,환불요청,주문취소,True
J18_S013040,배송확인,구매진행,True
J18_S023308,서비스이용,구매진행,True
J18_S013267,불만제기,환불요청,True
J17_S003955,서비스이용,구매진행,True
J19_S024980,환불요청,주문취소,True
J18_S000063,배송확인,교환반품,True
J19_S037786,환불요청,불만제기,True
J19_S010897,환불요청,배송확인,True
J19_S003993,구매진행,서비스이용,True
J18_S017435,환불요청,불만제기,True
J18_S006957,배송확인,서비스이용,True
J17_S003844,서비스이용,구매진행,True
J18_S006037,불만제기,환불요청,True
J18_S012583,불만제기,배송확인,True
J18_S002147,교환반품,구매진행,True
J18_S000891,환불요청,서비스이용,True
J18_S011922,환불요청,교환반품,True
J18_S009183,환불요청,주문취소,True
J18_S016558,배송확인,교환반품,True
J18_S004227,교환반품,서비스이용,True
J19_S000072,환불요청,구매진행,True
J19_S003765,환불요청,서비스이용,True
J19_S012237,주문취소,구매진행,True
J18_S020717,환불요청,배송확인,True
J18_S018471,환불요청,주문취소,True
J19_S026913,배송확인,구매진행,True
J19_S017357,서비스이용,구매진행,True
J18_S022997,교환반품,배송확인,True
J19_S008208,환불요청,주문취소,True
J19_S024098,환불요청,주문취소,True
J19_S032268,환불요청,구매진행,True
J19_S015839,환불요청,배송확인,True
J18_S001233,배송확인,구매진행,True
J19_S026078,환불요청,주문취소,True
J19_S010016,환불요청,교환반품,True
J19_S001165,환불요청,구매진행,True
J18_S016947,배송확인,서비스이용,True
J19_S006823,환불요청,구매진행,True
J19_S005171,환불요청,주문취소,True
J19_S004118,환불요청,서비스이용,True
J19_S018365,구매진행,서비스이용,True
J19_S019247,환불요청,주문취소,True
J19_S019780,서비스이용,구매진행,True
J19_S016661,환불요청,구매진행,True
J18_S004786,배송확인,서비스이용,True
J19_S033788,주문취소,환불요청,True
J19_S011488,환불요청,주문취소,True
J18_S007106,불만제기,환불요청,True
J18_S011623,교환반품,배송확인,True
J19_S013321,환불요청,서비스이용,True
J19_S012367,환불요청,불만제기,True
J19_S007287,환불요청,주문취소,True
J17_S006764,서비스이용,배송확인,True
J18_S020444,불만제기,배송확인,True
J19_S022075,환불요청,서비스이용,True
J18_S002690,교환반품,배송확인,True
J19_S016616,구매진행,서비스이용,True
J19_S018000,환불요청,구매진행,True
J19_S014585,환불요청,주문취소,True
J18_S022785,환불요청,서비스이용,True
J16_S006913,주문취소,배송확인,True
J18_S016261,환불요청,교환반품,True
J18_S013223,교환반품,환불요청,True
J19_S032782,환불요청,불만제기,True
J17_S001349,서비스이용,구매진행,True
J19_S015095,환불요청,구매진행,True
J18_S021824,배송확인,서비스이용,True
J18_S007635,환불요청,주문취소,True
J19_S005174,서비스이용,환불요청,True
J18_S010612,배송확인,서비스이용,True
J19_S032602,환불요청,배송확인,True
J19_S002013,주문취소,구매진행,True
J17_S005976,서비스이용,구매진행,True
J19_S007604,구매진행,서비스이용,True
J18_S010722,배송확인,서비스이용,True
J19_S015646,서비스이용,구매진행,True
J18_S014714,환불요청,배송확인,True
J19_S001064,교환반품,구매진행,True
J19_S016514,구매진행,서비스이용,True
J19_S022213,환불요청,주문취소,True
J18_S022509,환불요청,서비스이용,True
J19_S017411,환불요청,주문취소,True
J19_S010368,환불요청,주문취소,True
J19_S025147,환불요청,주문취소,True
